trial_number,0,1,2,3,4,5,6,7,8,9,10,11
ID,,,,,,,,,,,,
6101,1,0,1,0,1,1,1,1,0,1,1,1
6102,0,0,0,0,1,0,1,1,0,0,1,0
6103,1,1,1,0,1,0,0,0,1,1,1,0
6104,0,1,0,1,1,0,0,1,1,1,1,1
6105,1,1,1,1,1,0,1,1,0,1,1,0
6106,1,0,1,1,1,1,1,0,1,1,1,0
6111,1,0,1,0,0,0,0,0,0,1,0,0
6112,0,0,1,0,0,1,1,1,1,0,0,0
6113,1,0,0,0,0,1,0,0,1,0,1,0
6114,1,1,1,0,1,1,0,1,0,1,1,1
6115,0,1,1,0,1,0,1,1,0,1,1,1
6116,1,0,1,0,0,0,0,0,1,1,0,0
6117,0,0,1,1,1,1,0,1,0,0,1,1
6118,0,0,0,0,1,1,0,1,0,0,1,0
6120,1,0,1,0,1,0,1,1,0,1,0,1
6121,1,1,1,0,1,1,1,0,1,1,0,0
6122,1,1,1,1,1,1,0,0,0,1,1,0
6124,0,1,1,0,1,0,0,0,0,1,1,1
6125,0,1,1,0,0,0,0,0,0,1,0,0
6126,0,1,0,1,0,1,0,0,0,0,0,0
6127,1,0,0,1,0,0,0,0,0,1,0,1
6128,1,0,1,0,1,1,0,0,0,0,0,0
6129,0,0,0,0,0,1,0,1,0,0,0,0
6130,0,1,0,0,1,0,0,0,0,0,0,1
6131,1,0,0,0,0,1,1,0,0,1,1,1
6132,1,1,1,0,1,0,1,1,1,1,1,1
6133,1,1,1,1,1,1,0,1,0,1,1,1
6134,1,0,0,0,0,0,1,0,0,0,0,1
6135,1,0,0,1,0,0,0,0,1,1,1,0
6136,0,1,1,0,0,0,0,0,1,0,0,1
6137,0,0,0,1,1,1,0,0,0,0,1,0
6138,0,1,1,1,0,1,1,1,0,1,0,1
6139,0,1,1,0,0,0,0,1,0,1,1,1
6140,0,1,0,1,0,1,1,1,0,1,0,0
6202,1,1,0,1,0,0,1,1,1,0,1,0
6203,1,1,1,1,1,1,1,1,0,1,1,1
6204,0,1,1,1,1,1,0,0,0,0,0,0
6205,0,1,1,1,1,1,0,1,0,1,1,1
6206,0,1,1,0,1,0,1,1,1,0,1,1
6207,1,1,1,0,1,0,1,0,0,0,1,1
6208,0,0,1,1,1,0,0,1,0,0,0,0
6209,1,1,0,1,1,1,0,1,0,1,1,1
6210,1,0,1,1,0,0,0,0,0,0,1,1
6211,1,1,0,0,0,1,0,0,0,0,1,1
6212,0,1,0,0,1,0,1,0,0,1,0,0
6213,0,1,1,0,1,0,0,0,0,0,1,1
6214,0,0,1,1,1,0,0,1,0,0,1,0
6215,1,1,1,1,1,1,0,0,1,1,1,1
6216,0,0,0,0,0,0,1,1,0,1,1,0
6217,0,1,0,1,1,1,1,1,0,1,0,0
6218,1,0,1,0,1,1,1,0,1,1,1,0
6219,0,1,0,1,1,0,1,1,0,1,1,0
6221,0,1,0,0,1,1,0,0,0,0,1,0
6223,0,0,0,0,1,1,0,0,1,0,1,0
6224,0,1,1,0,0,1,0,1,0,1,0,1
6225,0,1,0,0,0,0,0,0,1,0,1,0
6226,1,1,1,0,1,1,0,1,1,1,1,0
6229,0,0,0,0,0,1,0,1,0,0,0,1
6230,1,1,1,0,0,0,0,0,0,0,1,0
6231,0,0,0,0,0,1,1,0,0,0,1,0
6235,1,1,1,1,1,0,1,1,1,0,0,0
6236,1,1,1,1,1,1,1,1,1,1,0,1
6237,1,0,0,1,0,0,1,1,0,0,1,1
6239,0,1,1,0,1,0,1,0,1,0,1,1
6240,1,1,1,0,1,0,1,0,0,0,0,1
6242,1,1,0,0,1,0,1,1,1,1,1,0
6243,1,1,1,1,1,0,1,1,1,0,1,1
6245,0,0,1,0,0,0,0,0,1,1,0,1
6246,1,0,0,0,0,0,1,1,1,1,1,0
6247,1,1,1,1,1,1,0,1,0,1,1,1
6249,1,1,0,1,1,1,1,0,1,1,1,1
6250,1,1,1,1,0,0,0,0,1,1,1,0
6251,0,1,1,1,1,0,1,1,0,1,1,1
6253,0,1,0,1,0,1,1,1,1,1,0,0
6254,1,1,0,1,1,0,1,1,1,1,1,0
6257,1,1,1,1,1,1,1,1,0,1,1,1
6258,1,1,1,0,1,1,1,1,1,1,1,1
6259,1,1,0,1,1,0,0,1,1,1,1,1
6260,1,0,1,1,1,1,0,0,0,1,0,1
6261,1,0,0,1,0,1,0,0,1,1,1,0
6262,1,1,1,1,1,1,1,1,0,1,1,1
6263,1,1,0,1,1,1,0,0,0,0,0,0
BS103,0,0,0,1,0,0,0,0,1,0,0,1
BS104,1,0,1,0,0,0,1,0,0,0,1,0
BS105,0,0,0,1,1,0,1,0,0,1,0,0
BS106,0,1,0,0,0,1,0,1,0,0,1,0
BS108,0,0,1,0,0,1,1,0,0,1,1,1
BS109,0,1,0,0,1,0,1,0,0,1,1,0
BS110,1,0,0,0,0,1,0,1,0,1,1,0
BS112,1,1,1,1,1,1,1,0,1,1,0,1
BS113,0,0,0,0,1,1,1,1,0,1,0,0
BS114,1,0,0,1,0,0,1,1,1,1,1,0
BS115,0,1,0,0,1,1,0,1,0,1,1,1
KO101,0,0,1,0,0,1,1,0,0,1,1,0
KO102,0,1,1,0,1,1,0,0,0,1,0,0
KO103,0,0,0,1,0,1,0,0,0,0,1,1
KO104,1,1,1,0,0,1,0,1,1,1,1,1
KO105,1,0,0,1,1,1,1,1,0,0,1,0
KO106,1,0,0,0,0,1,1,1,1,1,0,0
KO107,0,1,1,0,0,1,0,0,1,0,0,1
KO108,0,0,1,1,0,1,1,0,0,1,0,0
KO109,1,0,1,0,0,1,0,0,0,0,1,0
KO110,0,1,0,1,1,0,0,1,1,1,0,0
KO111,0,1,1,1,1,1,0,1,1,1,1,1
KO112,1,0,0,0,0,0,0,0,1,0,0,0
KO113,0,1,0,1,1,1,0,0,0,0,0,0
KO115,0,0,0,0,0,1,1,1,1,0,0,1
KO116,0,0,0,0,1,0,0,0,1,1,0,0
KO118,1,1,0,0,0,1,0,1,0,1,0,0
KO119,0,1,1,0,0,0,0,0,1,1,0,1
KO120,1,1,0,0,0,0,0,1,1,1,1,1
KO121,0,0,0,0,0,0,1,1,0,1,1,0
KO123,0,1,0,0,0,0,0,0,0,1,0,0
KO124,0,0,1,0,1,1,1,0,1,0,1,0
KO126,0,1,1,0,1,1,1,1,1,0,0,0
KO127,1,0,1,1,1,0,0,1,0,1,0,0
